model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
XGB,fold_0,0.9753897262525238,0.980349344978166,"[[361  11]
 [  9 449]]",0.9782135076252723,3.78134822845459,0.015938520431518555,0.02409638554216864,0.9864326611899428,0.9759036144578314,0.9760869565217392
XGB,fold_1,0.9582068657208066,0.9540481400437637,"[[358  14]
 [ 21 436]]",0.9614112458654906,3.7151243686676025,0.0074155330657958984,0.04221954161640529,0.9863223676453249,0.9577804583835947,0.9688888888888889
XGB,fold_2,0.970991859015082,0.9715536105032823,"[[361  11]
 [ 13 444]]",0.9736842105263157,3.517552137374878,0.013512849807739258,0.02895054282267795,0.9864140595787112,0.971049457177322,0.9758241758241758
XGB,fold_3,0.9655213994964824,0.9606126914660832,"[[361  11]
 [ 18 439]]",0.968026460859978,3.2589142322540283,0.015599489212036133,0.0349819059107358,0.9867648894993133,0.9650180940892642,0.9755555555555555
XGB,fold_4,0.9674595891861368,0.9671772428884027,"[[360  12]
 [ 15 442]]",0.9703622392974753,3.878364086151123,0.0045833587646484375,0.03256936067551264,0.9873537406925895,0.9674306393244874,0.973568281938326
XGB,fold_5,0.974770183264869,0.9737991266375546,"[[362   9]
 [ 12 446]]",0.976998904709748,3.9582738876342773,0.015717506408691406,0.02533172496984315,0.9864001892147588,0.9746682750301568,0.9802197802197802
XGB,fold_6,0.9686113301710237,0.980349344978166,"[[355  16]
 [  9 449]]",0.9729144095341278,3.5613749027252197,0.010011434555053711,0.030156815440289475,0.9873528675181568,0.9698431845597105,0.9655913978494624
XGB,fold_7,0.9850398427476783,0.9781659388646288,"[[368   3]
 [ 10 448]]",0.9856985698569858,3.2444958686828613,0.008264780044555664,0.0156815440289505,0.9852389291968977,0.9843184559710495,0.9933481152993349
XGB,fold_8,0.9701473651996846,0.9672489082969432,"[[361  10]
 [ 15 443]]",0.9725576289791438,3.2142117023468018,0.008159160614013672,0.030156815440289475,0.9863476953907816,0.9698431845597105,0.977924944812362
XGB,fold_9,0.9639885121058394,0.9737991266375546,"[[354  17]
 [ 12 446]]",0.968512486427796,3.8905725479125977,0.01702141761779785,0.0349819059107358,0.9865550182804576,0.9650180940892642,0.9632829373650108
