model_name,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
KNN,0.9577816238157795,0.9595192915876027,"[[1131   52]
 [  64 1517]]",0.9631746031746031,0.22775626182556152,0.8682084083557129,0.04196816208393628,0.987614776852445,0.9580318379160637,0.9668578712555768
LVQ,0.8454280356922307,0.715370018975332,"[[1154   29]
 [ 450 1131]]",0.8252462604888725,52.920085430145264,1.710167407989502,0.1732995658465991,0.8515908605594704,0.8267004341534009,0.975
DTR,0.9387945290733204,0.9316888045540797,"[[1119   64]
 [ 108 1473]]",0.9448364336112892,1.8346056938171387,0.05798840522766113,0.06222865412445733,0.9282511210762332,0.9377713458755427,0.9583604424202993
SVM,0.9511314355862597,0.9538266919671095,"[[1122   61]
 [  73 1508]]",0.9574603174603175,17.759706020355225,10.909942865371704,0.04848046309696097,0.9631646380525304,0.951519536903039,0.9611217335882728
RF,0.9618012503722619,0.9557242251739405,"[[1145   38]
 [  70 1511]]",0.9654952076677317,10.829947710037231,0.5970139503479004,0.03907380607814759,0.9783258594917787,0.9609261939218524,0.9754680438992899
XGB,0.9637963603078185,0.9664769133459835,"[[1137   46]
 [  53 1528]]",0.968621236133122,8.429821252822876,0.029608488082885742,0.0358176555716353,0.9864403160367285,0.9641823444283647,0.9707750952986023
LGBM,0.9655904354488503,0.9683744465528147,"[[1139   44]
 [  50 1531]]",0.9702154626109,2.3721683025360107,0.013421773910522461,0.03400868306801741,0.9869741618620542,0.9659913169319826,0.9720634920634921
MLP,0.9590466459536668,0.9620493358633776,"[[1131   52]
 [  60 1521]]",0.9644895370957515,22.284497022628784,0.007830619812011719,0.04052098408104199,0.9874012385223148,0.959479015918958,0.9669421487603306
Heterogêneo,0.9656968341831866,0.967741935483871,"[[1140   43]
 [  51 1530]]",0.9701965757767913,8.116940975189209,1.083038568496704,0.03400868306801741,0.987614776852445,0.9659913169319826,0.9726636999364272
ANNs,0.9634771641048097,0.9683744465528147,"[[1134   49]
 [  50 1531]]",0.9686807972160708,108.9838809967041,0.13559937477111816,0.0358176555716353,0.9878283151825753,0.9641823444283647,0.9689873417721518
