model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
RF,fold_0,0.9707705310607129,0.9737991266375546,"[[360  12]
 [ 12 446]]",0.9737991266375546,3.296473741531372,0.08078789710998535,0.028915662650602414,0.9779686333084391,0.9710843373493976,0.9737991266375546
RF,fold_1,0.9600509399778829,0.949671772428884,"[[361  11]
 [ 23 434]]",0.9623059866962306,3.617172956466675,0.09423279762268066,0.04101326899879376,0.9792477302204928,0.9589867310012062,0.9752808988764045
RF,fold_2,0.9625832333356863,0.962800875273523,"[[358  14]
 [ 17 440]]",0.9659714599341382,5.127135515213013,0.17361068725585938,0.03739445114595896,0.9781877103327932,0.962605548854041,0.9691629955947136
RF,fold_3,0.9578627561704431,0.9452954048140044,"[[361  11]
 [ 25 432]]",0.96,6.165690183639526,0.17197346687316895,0.043425814234016924,0.9777750031214884,0.9565741857659831,0.9751693002257337
RF,fold_4,0.9625832333356863,0.962800875273523,"[[358  14]
 [ 17 440]]",0.9659714599341382,6.635106325149536,0.18908286094665527,0.03739445114595896,0.9794350549580428,0.962605548854041,0.9691629955947136
RF,fold_5,0.96526854129639,0.962882096069869,"[[359  12]
 [ 17 441]]",0.9681668496158069,6.525747299194336,0.17264652252197266,0.0349819059107358,0.9781220435193945,0.9650180940892642,0.9735099337748344
RF,fold_6,0.9631528148871809,0.9694323144104804,"[[355  16]
 [ 14 444]]",0.9673202614379085,6.116442441940308,0.17300057411193848,0.03618817852834744,0.9793388429752066,0.9638118214716526,0.9652173913043478
RF,fold_7,0.9660365588107205,0.9563318777292577,"[[362   9]
 [ 20 438]]",0.9679558011049724,6.2708353996276855,0.18869614601135254,0.0349819059107358,0.9772329246935202,0.9650180940892642,0.9798657718120806
RF,fold_8,0.9685436504666958,0.9694323144104804,"[[359  12]
 [ 14 444]]",0.9715536105032824,6.25484037399292,0.17317938804626465,0.03136308805790111,0.9773296593186372,0.9686369119420989,0.9736842105263158
RF,fold_9,0.959621699878765,0.9650655021834061,"[[354  17]
 [ 16 442]]",0.9640130861504906,5.841025352478027,0.06238961219787598,0.039806996381182125,0.9787710814954593,0.9601930036188179,0.9629629629629629
