model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
Heterogêneo,fold_0,0.9783302812602714,0.9781659388646288,"[[364   8]
 [ 10 448]]",0.9803063457330414,6.7026214599609375,0.31259775161743164,0.02168674698795181,0.9882997261638038,0.9783132530120482,0.9824561403508771
Heterogêneo,fold_1,0.9633332156890426,0.9562363238512035,"[[361  11]
 [ 20 437]]",0.9657458563535911,7.03922700881958,0.3145761489868164,0.03739445114595896,0.9879731163777856,0.962605548854041,0.9754464285714286
Heterogêneo,fold_2,0.9696477729935766,0.9715536105032823,"[[360  12]
 [ 13 444]]",0.972617743702081,6.270326852798462,0.26821064949035645,0.030156815440289475,0.9871619095101583,0.9698431845597105,0.9736842105263158
Heterogêneo,fold_3,0.9671154796357733,0.9584245076586433,"[[363   9]
 [ 19 438]]",0.9690265486725664,6.625611066818237,0.3191030025482178,0.033775633293124274,0.9886377824946935,0.9662243667068757,0.9798657718120806
Heterogêneo,fold_4,0.9688036752076422,0.9671772428884027,"[[361  11]
 [ 15 442]]",0.9714285714285714,7.063523292541504,0.2922239303588867,0.03136308805790111,0.9890083914430918,0.9686369119420989,0.9757174392935982
Heterogêneo,fold_5,0.9674519474099271,0.9672489082969432,"[[359  12]
 [ 15 443]]",0.9704271631982475,6.99047064781189,0.35329413414001465,0.03256936067551264,0.9882923368022706,0.9674306393244874,0.9736263736263736
Heterogêneo,fold_6,0.9688673360091338,0.9781659388646288,"[[356  15]
 [ 10 448]]",0.9728555917480999,6.68507981300354,0.26789116859436035,0.030156815440289475,0.9884798397195091,0.9698431845597105,0.9676025917926566
Heterogêneo,fold_7,0.9772095952165162,0.9759825327510917,"[[363   8]
 [ 11 447]]",0.9791894852135815,6.98796010017395,0.30968761444091797,0.022919179734619988,0.9867400550412809,0.97708082026538,0.9824175824175824
Heterogêneo,fold_8,0.9774656010546263,0.9737991266375546,"[[364   7]
 [ 12 446]]",0.9791437980241493,6.886866092681885,0.2983701229095459,0.022919179734619988,0.9882264529058116,0.97708082026538,0.9845474613686535
Heterogêneo,fold_9,0.9628968090490707,0.9716157205240175,"[[354  17]
 [ 13 445]]",0.967391304347826,7.277020454406738,0.3650510311126709,0.03618817852834744,0.9885599716947753,0.9638118214716526,0.9632034632034632
